,Park_Name,Death Total,activities,deaths
80,Cedar Creek & Belle Grove National Historical Park,0,"['Astronomy', 'Stargazing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
81,Chaco Culture National Historical Park,0,"['Astronomy', 'Camping', 'Guided Tours', 'Hiking']",0
82,Chamizal National Memorial,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
83,Channel Islands National Park,12,"['Astronomy', 'Stargazing', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
84,Charles Pinckney National Historic Site,0,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
85,Charles Young Buffalo Soldiers National Monument,0,"['Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Park Film']",0
86,Chattahoochee River National Recreation Area,33,"['Biking', 'Boating', 'Fishing', 'Hiking', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
87,Chesapeake & Ohio Canal National Historical Park,18,"['Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping']",1
88,Chesapeake Bay,0,"['Boating', 'Compass and GPS', 'Geocaching', 'Guided Tours', 'Paddling', 'Junior Ranger Program', 'Wildlife Watching']",0
89,Chickamauga & Chattanooga National Military Park,0,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Climbing', 'Rock Climbing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
90,Chickasaw National Recreation Area,0,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Jet Skiing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Food', 'Picnicking', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Gathering and Foraging', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
91,Chiricahua National Monument,0,"['Astronomy', 'Stargazing', 'Camping', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
92,Christiansted National Historic Site,0,"['Arts and Culture', 'Live Music', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
93,City Of Rocks National Reserve,0,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Ice Climbing', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Ice Skating', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
94,Civil War Defenses of Washington,0,"['Arts and Culture', 'Theater', 'Biking', 'Mountain Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film']",0
95,Clara Barton National Historic Site,0,"['Guided Tours', 'Museum Exhibits']",0
96,Colonial National Historical Park,14,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",1
97,Colorado National Monument,12,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Climbing', 'Rock Climbing', 'Food', 'Picnicking', 'Hiking', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",1
98,Coltsville National Historical Park,0,[],0
99,Congaree National Park,0,"['Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
100,Constitution Gardens,0,['Junior Ranger Program'],0
101,Coronado National Memorial,0,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Caving', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
102,Cowpens National Battlefield,0,"['Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
103,Crater Lake National Park,0,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'RV Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
104,Craters Of The Moon National Monument & Preserve,0,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Group Camping', 'Caving', 'Hiking', 'Backcountry Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
105,Cumberland Gap National Historical Park,0,"['Biking', 'Camping', 'Caving', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
106,Cumberland Island National Seashore,0,"['Biking', 'Boating', 'Camping', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",0
107,Curecanti National Recreation Area,0,"['Boating', 'Boat Tour', 'Camping', 'Fishing', 'Fly Fishing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Swimming', 'Wildlife Watching', 'Birdwatching']",0
108,Cuyahoga Valley National Park,18,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Biking', 'Mountain Biking', 'Camping', 'Fishing', 'Food', 'Picnicking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
109,César E. Chávez National Monument,0,"['Junior Ranger Program', 'Park Film']",0
110,Dayton Aviation Heritage National Historical Park,0,"['Biking', 'Road Biking', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
111,De Soto National Memorial,0,"['Fishing', 'Saltwater Fishing', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Paddling', 'Kayaking', 'Shopping', 'Bookstore and Park Store']",0
112,Death Valley National Park,34,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Canyoneering', 'Food', 'Flying', 'Golfing', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",1
113,Delaware Water Gap National Recreation Area,50,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
114,Denali National Park & Preserve,59,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Dog Sledding', 'Flying', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Hunting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Park Film']",1
115,Devils Postpile National Monument,0,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Car or Front Country Camping', 'Fishing', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching']",0
116,Devils Tower National Monument,0,"['Astronomy', 'Stargazing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",0
117,Dinosaur National Monument,0,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
118,Dry Tortugas National Park,0,"['Astronomy', 'Stargazing', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Paddling', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
119,Dwight D. Eisenhower Memorial,0,"['Guided Tours', 'Self-Guided Tours - Walking']",0
120,Ebey's Landing National Historical Reserve,0,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Sailing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping']",0
121,Edgar Allan Poe National Historic Site,0,"['Guided Tours', 'Junior Ranger Program']",0
122,Effigy Mounds National Monument,0,"['Guided Tours', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
123,Eisenhower National Historic Site,0,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
124,El Camino Real de Tierra Adentro National Historic Trail,0,"['Arts and Culture', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Hiking', 'Museum Exhibits']",0
125,El Camino Real de los Tejas National Historic Trail,0,"['Auto and ATV', 'Scenic Driving', 'Museum Exhibits']",0
126,El Malpais National Monument,0,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Camping', 'Backcountry Camping', 'Caving', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
127,El Morro National Monument,0,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Camping', 'Car or Front Country Camping', 'RV Camping', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
128,Eleanor Roosevelt National Historic Site,0,"['Guided Tours', 'Hands-On', 'Citizen Science', 'Hiking', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
129,Ellis Island Part of Statue of Liberty National Monument,0,"['Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
130,Eugene O'Neill National Historic Site,0,"['Arts and Culture', 'Theater', 'Guided Tours', 'Self-Guided Tours - Walking', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
131,Everglades National Park,13,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Paddling', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",1
132,Federal Hall National Memorial,0,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']",0
133,Fire Island National Seashore,0,"['Arts and Culture', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Junior Ranger Program', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",0
134,First Ladies National Historic Site,0,"['Guided Tours', 'Living History', 'First Person Interpretation', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
135,First State National Historical Park,0,"['Biking', 'Mountain Biking', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Junior Ranger Program']",0
136,Flight 93 National Memorial,0,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program']",0
137,Florissant Fossil Beds National Monument,0,"['Astronomy', 'Stargazing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
138,Ford's Theatre,0,"['Arts and Culture', 'Theater', 'Guided Tours', 'Junior Ranger Program']",0
139,Fort Bowie National Historic Site,0,"['Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
140,Fort Davis National Historic Site,0,"['Arts and Culture', 'Craft Demonstrations', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
141,Fort Donelson National Battlefield,0,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
142,Fort Dupont Park,0,"['Arts and Culture', 'Live Music', 'Biking', 'Mountain Biking', 'Food', 'Picnicking', 'Junior Ranger Program', 'Wildlife Watching']",0
143,Fort Foote Park,0,"['Wildlife Watching', 'Birdwatching']",0
144,Fort Frederica National Monument,0,"['Biking', 'Guided Tours', 'Hiking']",0
145,Fort Laramie National Historic Site,0,"['Fishing', 'Freshwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Historic Weapons Demonstration', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
146,Fort Larned National Historic Site,0,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
147,Fort Matanzas National Monument,0,"['Fishing', 'Saltwater Fishing', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program']",0
148,Fort McHenry National Monument and Historic Shrine,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Biking', 'Road Biking', 'Compass and GPS', 'Geocaching', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
149,Fort Monroe National Monument,0,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
150,Fort Necessity National Battlefield,0,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Playground', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
151,Fort Point National Historic Site,0,"['Arts and Culture', 'Theater', 'Fishing', 'Living History', 'Historic Weapons Demonstration', 'Park Film', 'Museum Exhibits']",0
152,Fort Pulaski National Monument,0,"['Biking', 'Mountain Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",0
153,Fort Raleigh National Historic Site,0,"['Arts and Culture', 'Theater', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
154,Fort Scott National Historic Site,0,"['Guided Tours', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
155,Fort Smith National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
156,Fort Stanwix National Monument,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Snow Play', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
157,Fort Sumter and Fort Moultrie National Historical Park,0,"['Astronomy', 'Stargazing', 'Boating', 'Boat Tour', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
158,Fort Union National Monument,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",0
159,Fort Union Trading Post National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
160,Fort Vancouver National Historic Site,0,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Biking', 'Guided Tours', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Playground', 'Wildlife Watching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
161,Fort Washington Park,0,"['Fishing', 'Food', 'Picnicking', 'Living History', 'Historic Weapons Demonstration', 'Shopping', 'Bookstore and Park Store']",0
162,Fossil Butte National Monument,0,"['Auto and ATV', 'Scenic Driving', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
163,Franklin Delano Roosevelt Memorial,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
164,Frederick Douglass National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
165,Frederick Law Olmsted National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits']",0
166,Fredericksburg & Spotsylvania National Military Park,0,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
167,Freedom Riders National Monument,0,"['Guided Tours', 'Self-Guided Tours - Auto']",0
168,Friendship Hill National Historic Site,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits']",0
169,Gates Of The Arctic National Park & Preserve,0,"['Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Climbing', 'Rock Climbing', 'Mountain Climbing', 'Hiking', 'Backcountry Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Whitewater Rafting']",0
